id,name,latitude,longitude,timestamp,free_bikes,empty_slots,extra,total_bikes
10acadd77bc21f26a7f09d8c74d4af2d,Robson & Beatty,49.277773,-123.114237,2024-12-18T07:00:34.860304Z,6,14,"{'uid': '0026', 'renting': True, 'returning': True, 'last_updated': 1734504755, 'slots': 20, 'normal_bikes': 5, 'ebikes': 1, 'has_ebikes': True}",20
12dd264419c06f596d1a883ed36efd9c,Maple Tree Square,49.283482,-123.103738,2024-12-18T07:00:34.859801Z,23,2,"{'uid': '0013', 'renting': True, 'returning': True, 'last_updated': 1734505084, 'slots': 25, 'normal_bikes': 21, 'ebikes': 2, 'has_ebikes': True}",25
13021bba7bbeca1ccd8726ca17da59e6,22nd & Main,49.25094,-123.101306,2024-12-18T07:00:35.009134Z,2,12,"{'uid': '0563', 'renting': True, 'returning': True, 'last_updated': 1734505025, 'slots': 14, 'normal_bikes': 0, 'ebikes': 2, 'has_ebikes': True}",14
1648ead5ea617d2cea115869d9516f5e,Carrall & Seawall,49.276294,-123.106534,2024-12-18T07:00:34.925362Z,7,11,"{'uid': '0218', 'renting': True, 'returning': True, 'last_updated': 1734505020, 'slots': 18, 'normal_bikes': 6, 'ebikes': 1, 'has_ebikes': True}",18
1675a77b9af656faf527b4e6de53e63b,Charles & Woodland,49.2731,-123.0732,2024-12-18T07:00:35.000840Z,5,9,"{'uid': '0253', 'renting': True, 'returning': True, 'last_updated': 1734505111, 'slots': 14, 'normal_bikes': 3, 'ebikes': 2, 'has_ebikes': True}",14
175a074bf65455d1633639511dc129c8,1st & Manitoba,49.27023,-123.10651,2024-12-18T07:00:34.924105Z,14,10,"{'uid': '0174', 'renting': True, 'returning': True, 'last_updated': 1734504783, 'slots': 28, 'normal_bikes': 12, 'ebikes': 2, 'has_ebikes': True}",24
17a3320a52bcc62161908967f8a06613,St Catherines & 7th,49.264466,-123.085183,2024-12-18T07:00:35.001826Z,3,17,"{'uid': '0266', 'renting': True, 'returning': True, 'last_updated': 1734505169, 'slots': 20, 'normal_bikes': 2, 'ebikes': 1, 'has_ebikes': True}",20
198810b9b0af5d229d1b6fa12c620e06,Triumph & Victoria,49.283986,-123.065264,2024-12-18T07:00:35.006107Z,13,5,"{'uid': '0280', 'renting': True, 'returning': True, 'last_updated': 1734505210, 'slots': 18, 'normal_bikes': 12, 'ebikes': 1, 'has_ebikes': True}",18
1bca0e944a4faf170db82793414b03ab,18th & Main,49.254667,-123.101389,2024-12-18T07:00:35.001107Z,3,13,"{'uid': '0255', 'renting': True, 'returning': True, 'last_updated': 1734504806, 'slots': 16, 'normal_bikes': 3, 'ebikes': 0, 'has_ebikes': True}",16
1c8f7fd6535db12cc45cfc59aa9da058,St Catherines & 10th,49.261353,-123.085333,2024-12-18T07:00:35.001717Z,4,7,"{'uid': '0265', 'renting': True, 'returning': True, 'last_updated': 1734505049, 'slots': 12, 'normal_bikes': 2, 'ebikes': 2, 'has_ebikes': True}",11
1d4153659a0a0a2089078c739df6737d,Nelson & Richards,49.277844,-123.120942,2024-12-18T07:00:34.890451Z,16,1,"{'uid': '0079', 'renting': True, 'returning': True, 'last_updated': 1734505144, 'slots': 18, 'normal_bikes': 16, 'ebikes': 0, 'has_ebikes': True}",17
1d442ad1a71774c82688a45954e47bfd,Arbutus & 10th,49.262835,-123.152626,2024-12-18T07:00:34.890298Z,2,16,"{'uid': '0075', 'renting': True, 'returning': True, 'last_updated': 1734504799, 'slots': 18, 'normal_bikes': 1, 'ebikes': 1, 'has_ebikes': True}",18
1d7e73b3321ebb6713774d376247d9f9,Comox & Denman,49.288444,-123.139203,2024-12-18T07:00:34.860590Z,12,6,"{'uid': '0032', 'renting': True, 'returning': True, 'last_updated': 1734505163, 'slots': 18, 'normal_bikes': 10, 'ebikes': 2, 'has_ebikes': True}",18
1ef01f2f89621d51afbabaa6296e55be,Prince Edward & 14th,49.258352,-123.096337,2024-12-18T07:00:35.001283Z,8,6,"{'uid': '0257', 'renting': True, 'returning': True, 'last_updated': 1734504730, 'slots': 14, 'normal_bikes': 6, 'ebikes': 2, 'has_ebikes': True}",14
1ef5c4ff3f0b09422bb1597fd9d7568b,Alexander & Railway,49.283992,-123.091206,2024-12-18T07:00:34.929557Z,4,16,"{'uid': '0230', 'renting': True, 'returning': True, 'last_updated': 1734504737, 'slots': 20, 'normal_bikes': 1, 'ebikes': 3, 'has_ebikes': True}",20
25318ec3e06fae1397a3a2f645104149,Chilco & Beach,49.28972,-123.144028,2024-12-18T07:00:34.861180Z,14,1,"{'uid': '0047', 'renting': True, 'returning': True, 'last_updated': 1734504967, 'slots': 14, 'normal_bikes': 12, 'ebikes': 2, 'has_ebikes': True}",15
